time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
45363,6,-5386,128,0,1,1,0,0,0,0,0
45373,19,-5378,142,0,1,1,0,0,0,0,0
45383,20,-5368,149,0,1,1,0,0,0,0,0
45393,11,-5371,141,0,1,1,0,0,0,0,0
45403,34,-5384,161,0,1,1,0,0,0,0,0
45413,25,-5387,142,0,1,1,0,0,0,0,0
45423,22,-5358,153,0,1,1,0,0,0,0,0
45433,39,-5408,138,0,1,1,0,0,0,0,0
45443,37,-5384,149,0,1,1,0,0,0,0,0
45454,42,-5357,128,0,1,1,0,0,0,0,0
45464,53,-5386,137,0,1,1,0,0,0,0,0
45474,48,-5399,141,0,1,1,0,0,0,0,0
45484,40,-5373,115,0,1,1,0,0,0,0,0
45494,20,-5377,141,0,1,1,0,0,0,0,0
45504,36,-5387,140,0,1,1,0,0,0,0,0
45514,19,-5385,140,0,1,1,0,0,0,0,0
45524,-14,-5407,139,0,1,1,0,0,0,0,0
45534,-3,-5360,155,0,1,1,0,0,0,0,0
45535,-5,-5389,141,0,1,1,0,0,0,0,0
45545,-8,-5389,159,0,1,1,0,0,0,0,0
45555,17,-5364,115,0,1,1,0,0,0,0,0
45565,12,-5374,136,0,1,1,0,0,0,0,0
45575,25,-5391,130,0,1,1,0,0,0,0,0
45585,30,-5388,111,0,1,1,0,0,0,0,0
45595,30,-5361,156,0,1,1,0,0,0,0,0
45605,32,-5387,133,0,1,1,0,0,0,0,0
45615,28,-5375,162,0,1,1,0,0,0,0,0
45625,23,-5375,160,0,1,1,0,0,0,0,0
45635,43,-5386,161,0,1,1,0,0,0,0,0
45645,45,-5399,183,0,1,1,0,0,0,0,0
45655,20,-5387,152,0,1,1,0,0,0,0,0
45665,21,-5374,154,0,1,1,0,0,0,0,0
45675,18,-5393,144,0,1,1,0,0,0,0,0
45685,34,-5377,122,0,1,1,0,0,0,0,0
45693,25,-5377,137,0,1,1,0,0,0,0,0
45703,16,-5372,120,0,1,1,0,0,0,0,0
45713,5,-5385,132,0,1,1,0,0,0,0,0
45724,-13,-5387,114,0,1,1,0,0,0,0,0
45734,-9,-5376,131,0,1,1,0,0,0,0,0
45745,4,-5392,134,0,1,1,0,0,0,0,0
45755,0,-5379,142,0,1,1,0,0,0,0,0
45766,6,-5384,157,0,1,1,0,0,0,0,0
45776,7,-5387,143,0,1,1,0,0,0,0,0
45787,25,-5378,133,0,1,1,0,0,0,0,0
45797,46,-5378,155,0,1,1,0,0,0,0,0
45807,47,-5378,146,0,1,1,0,0,0,0,0
45817,54,-5374,130,0,1,1,0,0,0,0,0
45827,59,-5378,129,0,1,1,0,0,0,0,0
45837,42,-5379,144,0,1,1,0,0,0,0,0
45847,43,-5383,156,0,1,1,1,0,0,0,0
45852,30,-5369,146,0,1,1,0,0,0,0,0
45862,24,-5378,141,0,1,1,0,0,0,0,0
45872,16,-5377,145,0,1,1,0,0,0,0,0
45887,14,-5384,144,0,1,1,0,0,0,0,0
45897,10,-5383,136,0,1,1,0,0,0,0,0
45908,1,-5369,144,0,1,1,0,0,0,0,0
45918,1,-5376,132,0,1,1,0,0,0,0,0
45919,11,-5378,127,0,1,1,0,0,0,0,0
45929,14,-5379,132,0,1,1,0,0,0,0,0
45939,23,-5374,135,0,1,1,0,0,0,0,0
45950,19,-5377,145,0,1,1,0,0,0,0,0
45960,27,-5383,131,0,1,1,0,0,0,0,0
45971,34,-5383,141,0,1,1,0,0,0,0,0
45981,35,-5391,150,0,1,1,0,0,0,0,0
45991,30,-5388,146,0,1,1,0,0,0,0,0
46001,31,-5384,146,0,1,1,0,0,0,0,0
46011,23,-5386,151,0,1,1,0,0,0,0,0
46021,32,-5387,154,0,1,1,0,0,0,0,0
46031,31,-5366,143,0,1,1,0,0,0,0,0
46041,34,-5375,139,0,1,1,0,0,0,0,0
46051,24,-5383,131,0,1,1,0,0,0,0,0
46061,29,-5384,144,0,1,1,0,0,0,0,0
46071,27,-5375,130,0,1,1,0,0,0,0,0
46081,3,-5381,128,0,1,1,0,0,0,0,0
46091,6,-5388,134,0,1,1,0,0,0,0,0
46101,4,-5382,122,0,1,1,0,0,0,0,0
46111,2,-5380,133,0,1,1,0,0,0,0,0
46121,-2,-5385,140,0,1,1,0,0,0,0,0
46132,1,-5379,145,0,1,1,0,0,0,0,0
46142,5,-5383,150,0,1,1,0,0,0,0,0
46152,13,-5384,136,0,1,1,0,0,0,0,0
46162,23,-5385,135,0,1,1,0,0,0,0,0
46172,30,-5376,143,0,1,1,0,0,0,0,0
